n,spacecraft,comm,comm1,rx1,tx1,comm2,rx2,tx2,nav,prop,gyro,gyro1,gyro2,gps,gps1,gps2,power,supply1,supply2
78,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
79,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
81,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
82,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
83,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
85,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
86,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
87,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
88,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
89,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
90,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
91,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
92,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
93,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
94,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
96,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
97,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
98,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
99,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
100,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
101,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
102,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
103,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
104,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
105,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
106,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
107,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
109,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
110,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
111,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
112,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
113,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
114,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
115,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
116,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
117,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
118,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
120,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
121,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
122,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
123,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
124,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
125,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
126,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
127,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
128,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
129,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
130,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
131,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
132,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
133,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
134,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
135,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
136,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
137,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
138,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
139,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
140,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
141,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
142,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
143,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
144,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
145,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
146,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
147,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
148,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
149,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
150,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
151,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
152,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
153,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
155,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
156,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
157,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
158,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
159,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
160,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
161,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
162,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
163,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
164,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
165,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
166,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
167,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
168,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
169,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
170,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
171,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
172,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
173,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
175,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
176,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
177,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
178,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
179,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
180,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
181,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
182,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
183,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
184,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
185,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
186,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
187,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
188,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
189,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
190,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
191,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
192,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
193,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
194,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
195,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
196,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
197,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
198,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
199,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
200,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
201,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
202,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
203,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
204,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
205,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
206,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
207,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
208,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
209,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
210,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
211,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
212,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
213,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
214,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
215,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
216,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
217,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
218,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
219,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
220,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
221,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
222,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
223,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
224,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
225,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
226,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
227,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
228,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
229,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
230,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
231,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
232,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
233,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
234,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
235,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
236,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
237,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
238,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
239,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
240,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
241,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
242,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
243,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
244,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
245,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
246,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
247,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
248,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
249,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
250,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
251,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
252,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
253,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
254,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
255,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
256,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
257,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
258,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
259,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
260,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
261,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
262,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
263,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
264,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
266,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
268,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
269,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
270,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
271,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
272,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
273,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
274,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
275,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
276,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
277,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
278,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
279,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
280,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
281,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
282,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
283,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
284,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
286,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
287,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
288,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
289,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
290,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
291,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
292,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
293,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
294,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
295,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
296,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
297,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
298,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
299,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
300,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
301,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
302,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
303,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
304,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
305,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
306,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
307,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
308,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
309,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
310,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
311,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
312,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
313,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
314,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
315,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
316,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
317,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
318,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
319,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
320,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
321,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
322,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
323,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
324,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
325,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
326,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
327,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
328,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
329,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
330,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
331,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
332,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
333,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
334,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
335,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
336,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
337,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
338,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
339,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
340,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
341,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
342,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
343,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
344,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
345,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
