Run,Full,Minimal
0,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
1,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
2,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
3,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
4,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
5,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
6,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
7,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
8,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
9,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
10,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
11,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
12,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
13,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
14,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
15,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
16,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
17,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
18,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
19,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
20,"['MCU_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'MCU']",['MCU_TID']
